max_number,min_number,average_number,max_length,min_length,average_length
119263250922120,0,5561630106111,88,2,15
119263250922120,0,14031460389819,88,2,14
119263250922120,0,14031460428641,88,2,14
119263407759099,0,11358511937487,88,2,14
119264412899284,0,11358618325487,88,2,14
119267386416558,0,11358890945380,88,2,14
119267386416558,0,14031947119745,88,2,14
119267386423558,0,5833183947439,88,2,15
119267713125585,0,11358922068099,88,2,14
119267713125585,0,14031985757269,88,2,14
119267715173865,0,2882083036082,88,1,14
119267715173865,0,14031986134708,88,2,14
119268748515158,0,11359039834982,88,2,14
119278948522158,0,11359993214178,88,2,14
119280518768571,0,11360141557415,87,2,14
119280518768571,0,14033492678778,88,2,14
1474509405243565,0,77795568579227,88,2,15
119280518775571,0,14033492761951,88,2,14
119281193968104,0,11360206052601,88,2,14
119281193975104,0,5562525763900,88,2,15
119282639675277,0,11360343548520,88,2,14
119282639675277,0,14033742408380,88,2,14
119282639675277,0,14033742451908,88,2,14
119282869825906,0,11360366420481,88,2,14
119282869825906,0,14033769555510,88,2,14
119312869832906,0,11369893589025,87,2,14
119314911684804,0,11363418975718,88,2,14
119314913733084,0,2848311439571,88,1,14
119314913733084,0,14037539597523,88,2,14
119322896469160,0,11364177528875,88,2,14
119322896469160,0,14038478922935,88,2,14
119323055376160,0,11364192884114,88,2,14
119323055383160,0,5696980511589,87,2,15
119323055383160,0,14038497835160,88,2,14
119328055390160,0,11364669806551,87,2,14
119328055390160,0,14039086085982,88,2,14
119329072077065,0,11364765681994,88,2,14
119329072084065,0,5836429853920,88,2,15
119334967655667,0,11365327356145,88,2,14
119334967655667,0,14039899449563,88,2,14
119334967655667,0,14039899463680,88,2,14
119334967662667,0,5565035679796,87,2,15
119334967669667,0,5565042656861,88,2,15
119339856270284,0,11366681670463,87,2,14
119348460809239,0,11366624414616,88,2,14
119348460816239,0,5565672570652,87,2,15
119349433824963,0,11366705086548,88,2,14
119349433824963,0,14041601488294,88,2,14
119349433831963,0,5837341314878,88,2,15
1580171749121279,0,80935256492186,88,2,15
119349951894356,0,11366755382604,88,2,14
119349951894356,0,14041662525276,88,2,14
119349951894356,0,14041662534688,87,2,14
119349951901356,0,5837341981574,88,2,15
119349951908356,0,5565856136910,87,2,15
119349951908356,0,14041662603390,88,2,14
119350814834566,0,11366836420784,88,2,14
119350814834566,0,14041764140002,88,2,14
119350814834566,0,14041764152355,88,2,14
119366709354473,0,11369712097390,88,2,14
119366709354473,0,14043634111755,88,2,14
119366709354473,0,14043634139989,88,2,14
119366709361473,0,5838178214457,88,2,15
119367809368473,0,11368456833436,88,2,14
119391594359220,0,11370870902069,88,2,14
119392734907609,0,11371196908789,88,2,14
119395903231441,0,11371131506196,88,2,14
119400877722985,0,11371604400713,88,2,14
119446890450308,0,11375986479420,87,2,14
119446890457308,0,5570410906636,88,2,15
119446983571344,0,11375995542305,87,2,14
119446983578344,0,5703028472532,88,2,15
119446983585344,0,5570402229311,88,2,15
1823685002998993,0,92535770950800,88,2,15
119447224967732,0,11376018532430,87,2,14
119447224967732,0,14053106923883,88,2,14
119447224967732,0,14053106989174,87,2,14
119467944756080,0,11377993494007,88,2,14
119483844763080,0,11394452205757,88,2,14
119483844770080,0,5572030912909,88,2,15
