max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
118326200300619,0,11269816244791,87,2,14,1701553086,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118326341300628,0,11269267513238,88,2,14,1701553080,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118328341207628,0,11279110108650,88,2,14,1701553072,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118328341214628,0,5515071771599,88,2,15,1701553045,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118328341214628,0,13921461414673,88,2,14,1701553038,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118339477841996,0,11276255825981,87,2,14,1701553013,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118339477848996,0,13922771748121,88,2,14,1701553000,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118339477848996,0,5784634194107,88,2,15,1701553000,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118339477855996,0,5646925841927,87,2,15,1701552992,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118345504088364,0,11271092731101,88,2,14,1701552978,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118346004095364,0,11271140917379,88,2,14,1701552920,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118346004095364,0,13923539938854,87,2,14,1701552920,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118346004102364,0,5515942043121,88,2,15,1701552915,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118346004102364,0,13923539947910,88,2,14,1701552910,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118349502590885,0,11271474303233,88,2,14,1701552896,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
